year,author,place of birth,latitude,longitude
1947,Ennio Flaiano,Pescara,42.46427778,14.21418889
1948,Vincenzo Cardarelli,Tarquinia,42.24916667,11.75611111
1949,Giovanni Battista Angioletti,Milan,45.46694444,9.19
1950,Cesare Pavese,Santo Stefano Belbo,44.7,8.233333333
1951,Corrado Alvaro,San Luca,38.15,16.06666667
1952,Alberto Moravia,Rome,41.89305556,12.48277778
1953,Massimo Bontempelli,Como,45.81025,9.086138889
1954,Mario Soldati,Turin,45.06666667,7.7
1955,Giovanni Comisso,Treviso,45.67221944,12.24221944
1956,Giorgio Bassani,Bologna,44.49388889,11.34277778
1957,Elsa Morante,Rome,41.89305556,12.48277778
1958,Dino Buzzati,Belluno,46.14083056,12.21556111
1959,Giuseppe Tomasi di Lampedusa,Palermo,38.11565806,13.36126194
1960,Carlo Cassola,Rome,41.89305556,12.48277778
1961,Raffaele La Capria,Naples,40.83333333,14.25
1962,Mario Tobino,Viareggio,43.8672392,10.2506055
1963,Natalia Ginzburg,Palermo,38.11565806,13.36126194
1964,Giovanni Arpino,Pula,44.86666667,13.83333333
1965,Paolo Volponi,Urbino,43.72523889,12.6372
1966,Michele Prisco,Torre Annunziata,40.75694444,14.44444444
1967,Anna Maria Ortese,Rome,41.89305556,12.48277778
1968,Alberto Bevilacqua,Parma,44.80147222,10.328
1969,Lalla Romano,Demonte,44.31666667,7.3
1970,Guido Piovene,Vicenza,45.55,11.55
1971,Raffaello Brignetti,Giglio,42.355,10.905
1972,Giuseppe Dessì,Cagliari,39.21666667,9.116666667
1973,Manlio Cancogni,Bologna,44.49388889,11.34277778
1974,Guglielmo Petroni,Lucca,43.85,10.51666667
1975,Tommaso Landolfi,Pico,41.45138889,13.56166667
1976,Fausta Cialente,Cagliari,39.21666667,9.116666667
1977,Fulvio Tomizza,Juricani,45.406,13.592
1978,Ferdinando Camon,Urbana,45.18333333,11.45
1979,Primo Levi,Turin,45.06666667,7.7
1980,Vittorio Gorresio,Modena,44.64582,10.92572
1981,Umberto Eco,Alessandria,44.91333056,8.62
1982,Goffredo Parise,Vicenza,45.55,11.55
1983,Mario Pomilio,Orsogna,42.21666667,14.28333333
1984,Pietro Citati,Florence,43.77138889,11.25416667
1985,Carlo Sgorlon,Cassacco,46.16666667,13.18333333
1986,Maria Bellonci,Rome,41.89305556,12.48277778
1987,Stanislao Nievo,Milan,45.46694444,9.19
1988,Gesualdo Bufalino,Comiso,36.95,14.6
1989,Giuseppe Pontiggia,Como,45.81025,9.086138889
1990,Sebastiano Vassalli,Genoa,44.40718611,8.933983333
1991,Paolo Volponi,Urbino,43.72523889,12.6372
1992,Vincenzo Consolo,Sant'Agata di Militello,38.06666667,14.63333333
1993,Domenico Rea,Naples,40.83333333,14.25
1994,Giorgio Montefoschi,Rome,41.89305556,12.48277778
1995,Mariateresa Di Lascia,Rocchetta Sant'Antonio,41.1,15.46666667
1996,Alessandro Barbero,Turin,45.06666667,7.7
1997,Claudio Magris,Trieste,45.65027778,13.77027778
1998,Enzo Siciliano,Rome,41.89305556,12.48277778
1999,Dacia Maraini,Fiesole,43.8,11.3
2000,Ernesto Ferrero,Turin,45.06666667,7.7
2001,Domenico Starnone,Saviano,40.91666667,14.51666667
2002,Margaret Mazzantini,Dublin,53.34972222,-6.260277778
2003,Melania Mazzucco,Rome,41.89305556,12.48277778
2004,Ugo Riccarelli,Cirié,45.23333333,7.6
2005,Maurizio Maggiani,Castelnuovo Magra,44.09936667,10.01778611
2006,Sandro Veronesi,Florence,43.77138889,11.25416667
2007,Niccolò Ammaniti,Rome,41.89305556,12.48277778
2008,Paolo Giordano,Turin,45.06666667,7.7
2009,Tiziano Scarpa,Venice,45.43972222,12.33194444
2010,Antonio Pennacchi,Latina,41.46722222,12.90361111
2011,Edoardo Nesi,Prato,43.88081389,11.09656111
2012,Alessandro Piperno,Rome,41.89305556,12.48277778
2013,Walter Siti,Modena,44.64582,10.92572
2014,Francesco Piccolo,Caserta,41.066667,14.333333
2015,Nicola Lagioia,Bari,41.12527778,16.86666667
2016,Edoardo Albinati,Rome,41.89305556,12.48277778
2017,Paolo Cognetti,Milan,45.46694444,9.19
2018,Helena Janeczek,Munich,48.1375,11.575
2019,Antonio Scurati,Naples,40.83333333,14.25
2020,Sandro Veronesi,Florence,43.77138889,11.25416667
2021,Emanuele Trevi,Rome,41.89305556,12.48277778