novel,locations 1,latitude 1,longitude 1,locations 2,latitude 2,longitude 2,locations 3,latitude 3,longitude 3,locations 4,latitude 4,longitude 4,locations 5,latitude 5,longitude 5,locations 6,latitude 6,longitude 6
Randagi,Pisa,43.71666667,10.4,Madrid,40.41888889,-3.691944444,,,,,,,,,,,,
Nova,Lucca,43.85,10.51666667,,,,,,,,,,,,,,,
Mordi e fuggi. Il romanzo delle BR,Milan,45.46694444,9.19,,,,,,,,,,,,,,,
E poi saremo salvi,Milan,45.46694444,9.19,,,,,,,,,,,,,,,
Spatriati,London,51.50722222,-0.1275,Milan,45.46694444,9.19,Berlin,52.51666667,13.38333333,,,,,,,,,
Nina sullâ€™argine,Spina,44.69305556,12.10111111,Sicily,37.59995833,14.01537778,,,,,,,,,,,,
Divorzio di velluto,Prague,50.0875,14.42138889,Bratislava,48.14472222,17.11277778,Verona,45.43861111,10.99277778,Bologna,44.49388889,11.34277778,London,51.50722222,-0.1275,"Washington, D.C.",38.895,-77.03666667
Il cannocchiale del tenente Dumont,Egypt,27,29,Spinetta Marengo,44.88554,8.6775,Liguria,44.45,8.766666667,,,,,,,,,
Storia aperta,Ethiopia,9,40,Greece,38.5,23,Albania,41,20,,,,,,,,,
Quel maledetto Vronskij,Milan,45.46694444,9.19,,,,,,,,,,,,,,,
Niente di vero,Italy,42.5,12.5,,,,,,,,,,,,,,,
Stradario aggiornato di tutti i miei baci,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,