,novel,locations
1,Randagi,"Pisa, Madrid"
2,Nova,Lucca
3,Mordi e fuggi. Il romanzo delle BR,Milano
4,E poi saremo salvi,Milano
5,Spatriati,"Londra, Milano, Berlino"
6,Nina sullâ€™argine,"Spina (Pinaura Padana), Sicilia"
7,Divorzio di velluto,"Praga, Bratislava, Verona, Bologna, Londra, Washington"
8,Il cannocchiale del tenente Dumont,"Egitto, Marengo, Liguria"
9,Storia aperta,"Etiopia, fronte greco-albanese"
10,Quel maledetto Vronskij,Milano
11,Niente di vero,Italia
12,Stradario aggiornato di tutti i miei baci,Roma
